PL (NUM_DEP,NUM_COM,SECTION,NUM);SURFACE;PERIMETRE;Nseg;N50;P2;MSI;PSI;ELONG
112850B1564;0.04870;91;6;2;53.56;1.164;0.779973976624056;1.188
112850B1563;0.00114;15;4;2;68.17;1.215;0.770413287773346;1.785
112850B1556;0.05462;94;4;2;55.15;1.134;0.874044296574334;1.240
112850B1554;0.05362;93;5;2;56.06;1.137;0.813293350159992;1.275
112850B1455;0.07756;118;4;2;63.29;1.200;0.802256897168489;2.078
112850B1454;0.07509;114;4;2;58.31;1.172;0.833952502700757;1.756
112850B1494;0.11166;136;5;2;55.72;1.146;0.795565625623331;1.576
112850B1491;0.13562;151;13;3;40.47;1.160;0.689019401382609;1.147
112850B1495;0.15174;202;8;3;35.61;1.465;0.67831350226937;1.687
112850B0396;0.08479;119;4;2;57.84;1.149;0.85875870291332;1.459
112850B1301;1.05453;412;6;2;54.56;1.131;0.7880319278255;1.547
112850B1560;0.05403;93;4;2;54.58;1.133;0.876774020751321;1.197
112850B1559;0.05326;93;4;2;55.16;1.134;0.873695849075534;1.224
112850B1558;0.05404;93;4;2;55.01;1.134;0.874580988137197;1.214
112850B1557;0.05347;93;4;2;55.48;1.135;0.872466992706143;1.257
112850B0026;0.18184;197;7;2;60.25;1.304;0.646413321083387;2.986
112850B0025;0.31773;224;5;2;53.66;1.120;0.84474681242968;1.196
112850B0021;0.63388;324;5;2;56.00;1.147;0.801352132861015;1.275
112850B1545;0.40591;256;4;2;51.63;1.132;0.92170474290865;1.057
112850B0391;1.11690;491;5;2;57.15;1.311;0.731469463282256;2.564
112850B1299;0.78530;351;7;2;52.18;1.118;0.781001172757932;1.018
112850B1298;0.73785;345;5;2;51.89;1.133;0.802425604883053;1.182
112850B1402;0.15009;155;5;2;54.26;1.126;0.834937536491388;1.266
112850B1404;0.20400;186;6;3;46.72;1.161;0.825630145848117;1.439
112850B1403;0.09960;131;4;2;62.67;1.171;0.828400592464287;1.814
112850B1405;0.09882;139;5;2;57.22;1.245;0.749501972058607;1.716
112850B1524;0.52258;352;13;3;42.50;1.375;0.611513759746994;1.068
112850B1401;0.10250;132;6;2;62.17;1.167;0.732302723008901;1.694
112850B1400;0.18858;177;7;2;51.07;1.149;0.75319695830611;1.043
112850B0006;0.15009;174;5;2;50.25;1.268;0.799060683798863;1.395
112850B0005;0.05695;109;8;3;44.43;1.283;0.739981198431685;1.499
112850B0004;0.12071;143;6;3;49.63;1.160;0.837875619657835;1.153
112850B0002;0.01136;52;4;2;64.68;1.384;0.74440069811134;3.163
112850B0013;0.40375;255;4;2;52.73;1.131;0.925470969754986;1.079
112850B0012;0.90778;420;7;3;48.19;1.244;0.744208865344748;2.162
112850B0007;0.01862;93;5;2;74.98;1.920;0.511157876881451;9.046
112850B0008;0.09870;137;7;3;45.01;1.226;0.772216251138755;2.313
112850B1550;0.01138;52;3;2;73.64;1.364;0.73868868553153;1.232
112850B1470;0.14446;246;8;3;45.34;1.824;0.550014180229243;2.926
112850B1561;0.10240;131;5;2;50.70;1.157;0.810986201827166;1.858
112850B0020;0.61658;314;4;2;51.16;1.130;0.90596186815641;1.010
112850B0019;0.51247;352;6;3;49.87;1.387;0.717905344368004;1.136
112850B0018;0.27746;211;4;2;52.52;1.130;0.904040915816132;1.109
112850B0017;0.72904;354;6;2;51.36;1.168;0.775032349079454;1.744
112850B0016;0.79090;394;8;3;48.70;1.251;0.707858928319001;1.307
112850B1549;0.57587;341;7;2;58.70;1.269;0.67117790840554;1.678
112850B1548;0.14587;320;11;3;45.99;2.364;0.467937463800897;7.334
112850B1544;0.65881;334;5;2;62.13;1.161;0.801085980332635;1.807
112850B0003;0.15147;164;8;3;35.67;1.190;0.846660670169072;1.909
112850B0014;0.73031;341;9;3;46.09;1.127;0.797175610596254;1.184
112850B0001;0.12962;154;6;2;55.45;1.204;0.784745940956881;1.523
112850B1562;0.26901;549;14;2;62.00;2.984;0.377666064152443;11.246
112850B1422;1.58133;565;13;4;30.11;1.267;0.71402515987191;1.256
112850B0023;1.67272;585;10;2;56.06;1.276;0.637725319163582;2.291
112850B0015;2.15154;703;17;4;29.59;1.352;0.659259485319656;1.841
112850B1352;0.73787;398;7;2;58.61;1.307;0.67578473654467;2.238
112850B0011;0.17958;309;5;2;91.71;2.059;0.515142555896713;11.154
112850B0010;0.17590;313;4;2;92.09;2.102;0.541639627427088;11.786
112850B1489;0.63491;1307;74;12;13.96;4.627;0.230208000951443;1.273
112850B1552;3.78474;866;10;2;50.78;1.255;0.665355583610443;1.486
112850B1555;0.06317;101;5;2;51.76;1.129;0.813343242769578;1.079
112850B0168;0.24412;341;8;3;49.65;1.947;0.542296655237304;3.524
112850B0170;0.20712;194;4;2;62.04;1.200;0.819804068637064;1.871
112850B0171;0.43450;290;5;2;61.38;1.239;0.745867356025933;1.579
112850B0173;0.34068;259;4;2;70.65;1.252;0.7704667933628;2.364
112850B0172;0.73402;349;4;2;52.85;1.151;0.897684927274092;1.180
112850B0240;0.35358;291;5;2;62.00;1.379;0.750753186258495;3.651
112850B0164;2.21245;676;10;3;42.24;1.283;0.69294526929185;1.334
112850B0235;6.69889;1228;18;3;41.65;1.339;0.625225282907168;1.776
112850B0161;0.38764;986;24;4;30.00;4.467;0.30924004784878;2.439
112850B0303;0.55388;412;7;3;47.71;1.561;0.654211207136671;2.546
112850B0314;0.42252;305;4;2;73.44;1.323;0.685634914037118;3.283
112850B0313;2.08995;580;6;3;48.87;1.132;0.836509731645361;1.107
112850B0758;0.05291;101;4;2;71.07;1.245;0.787129089140681;2.431
112850B0408;0.34051;259;9;3;37.94;1.254;0.737156916011112;1.270
112850B0419;0.27659;261;10;3;47.77;1.399;0.607522045400476;1.738
112850B0420;0.55240;297;5;2;52.65;1.126;0.80177586583126;1.130
112850B0421;0.66472;324;8;3;44.80;1.121;0.776646738306667;1.076
112850B0733;0.10424;132;6;2;57.28;1.151;0.748131329071895;1.451
112850B0687;0.48603;287;5;2;54.02;1.162;0.795111048149918;1.530
112850B0688;1.10170;440;7;2;52.76;1.182;0.732797650346889;1.404
112850B0689;0.67723;348;8;3;46.77;1.192;0.727484274631689;1.864
112850B0735;0.05948;99;4;2;57.44;1.142;0.842844734481029;1.363
112850B0760;0.36765;270;6;2;58.05;1.255;0.750056047958366;2.512
112850B0708;0.30754;285;4;2;81.32;1.450;0.627083730919109;4.438
112850B0752;0.27481;210;5;2;51.88;1.132;0.881023605412863;1.100
112850B0736;0.06388;101;4;2;52.11;1.130;0.869994557925316;1.088
112850B0690;0.56702;328;9;3;40.11;1.227;0.718308930936444;1.942
112850B0691;0.19121;187;5;2;64.84;1.205;0.76985487202789;1.246
112850B0753;0.08844;123;4;2;63.01;1.170;0.878675582936019;1.605
112850B0737;0.04325;107;6;3;48.21;1.446;0.668529978745995;3.554
112850B0674;0.50243;335;12;3;35.05;1.334;0.69556781438424;2.513
112850B0675;0.08298;124;5;2;53.22;1.217;0.801046474902495;1.111
112850B0709;0.46276;382;6;2;73.23;1.583;0.539837668103182;5.639
112850B0710;0.08725;118;5;2;51.41;1.131;0.802621277086551;1.106
112850B0754;0.10921;138;4;2;64.69;1.181;0.853618362214758;1.863
112850B0755;0.06653;121;4;2;76.23;1.326;0.745287318428971;3.225
112850B0711;0.11989;139;6;3;48.91;1.135;0.821247301438112;1.604
112850B0712;0.01585;94;5;2;53.65;2.105;0.565412553690332;5.118
112850B0756;0.25073;200;5;2;51.45;1.129;0.86863622027839;1.023
112850B0713;0.16038;241;17;4;36.38;1.696;0.520367611609519;1.961
112850B0714;0.04991;114;5;3;49.46;1.436;0.727659488067066;2.858
112850B0759;0.04327;87;4;2;64.62;1.184;0.846962385829655;1.914
112850B0694;0.08714;118;4;2;51.44;1.131;0.888953326320188;1.068
112850B0740;0.07137;107;4;2;51.47;1.130;0.883712294707068;1.007
112850B0676;0.12515;139;5;2;50.83;1.107;0.909053253075676;1.037
112850B0715;0.05626;124;6;3;45.23;1.481;0.696216613444585;2.602
112850B0677;0.20758;192;8;3;44.48;1.190;0.799474809545753;1.317
112850B0716;0.23527;227;5;2;61.73;1.318;0.701295214614055;3.156
112850B0695;0.31099;267;5;2;75.00;1.351;0.641399216098301;3.638
112850B0741;0.10197;139;5;2;66.06;1.226;0.725805012233099;1.967
112850B0678;0.40193;270;6;2;59.46;1.202;0.757852398633816;1.871
112850B0738;0.23172;208;5;2;68.43;1.216;0.713107650639856;1.935
112850B0692;0.11831;139;5;3;46.24;1.141;0.855908162825839;1.489
112850B0696;0.21978;314;7;2;73.79;1.886;0.459442777491659;8.864
112850B0693;0.08108;115;5;2;53.71;1.140;0.821309987618089;1.172
112850B0739;0.18745;187;5;2;59.16;1.218;0.750451262516671;2.303
112850B0725;0.07953;119;4;2;65.15;1.192;0.790434357018865;2.031
112850B0767;0.25543;215;6;2;50.83;1.201;0.826846475728823;1.929
112850B0726;0.43845;328;5;2;62.68;1.397;0.654278754511991;3.354
112850B0761;0.25898;288;6;2;62.58;1.598;0.689371148810771;5.289
