PL;CODE_DEP;NOM_COM;CODE_COM;SECTION;NUMERO;DALLE;BOIS_%;NATURE_%;AUTRE_%;DOMINANTE;PROBA_DOMINANTE;SURF_TOTALE_M2
114300C0450;11;Villeneuve-la-Comptal;430;0C;0450;1;100.0;0.0;0.0;BOIS;100;1520.9
114300C0446;11;Villeneuve-la-Comptal;430;0C;0446;1;94.61;0.0;5.39;BOIS;100;7158.1
114300C1339;11;Villeneuve-la-Comptal;430;0C;1339;1;100.0;0.0;0.0;BOIS;100;4159.5
114300C0447;11;Villeneuve-la-Comptal;430;0C;0447;1;95.73;0.0;4.27;BOIS;100;7139.9
11430AB0048;11;Villeneuve-la-Comptal;430;AB;0048;1;0.79;0.0;99.21;AUTRE;0;477.7
11430AB0047;11;Villeneuve-la-Comptal;430;AB;0047;1;35.36;0.0;64.64;AUTRE;0;5619.1
11430AB0046;11;Villeneuve-la-Comptal;430;AB;0046;1;1.58;0.0;98.42;AUTRE;0;6443.1
11430AB0042;11;Villeneuve-la-Comptal;430;AB;0042;1;0.0;0.0;100.0;AUTRE;0;1984.0
11430AB0045;11;Villeneuve-la-Comptal;430;AB;0045;1;0.0;0.0;100.0;AUTRE;0;2187.1
11430AB0043;11;Villeneuve-la-Comptal;430;AB;0043;1;0.0;0.0;100.0;AUTRE;0;1902.6
11430AB0044;11;Villeneuve-la-Comptal;430;AB;0044;1;2.55;0.0;97.45;AUTRE;0;1585.7
11430AB0154;11;Villeneuve-la-Comptal;430;AB;0154;1;0.0;0.0;100.0;AUTRE;0;2581.7
11430AR0105;11;Villeneuve-la-Comptal;430;AR;0105;1;15.95;0.0;84.05;AUTRE;0;479.1
11430AR0104;11;Villeneuve-la-Comptal;430;AR;0104;1;0.0;0.0;100.0;AUTRE;0;145.0
11430AR0101;11;Villeneuve-la-Comptal;430;AR;0101;1;0.0;0.0;100.0;AUTRE;0;740.3
11430AR0102;11;Villeneuve-la-Comptal;430;AR;0102;1;10.28;0.0;89.72;AUTRE;0;873.5
11430AR0103;11;Villeneuve-la-Comptal;430;AR;0103;1;0.0;0.0;100.0;AUTRE;0;14.5
11430AR0107;11;Villeneuve-la-Comptal;430;AR;0107;1;82.46;0.0;17.54;BOIS;100;665.9
11430AR0108;11;Villeneuve-la-Comptal;430;AR;0108;1;76.71;0.0;23.29;BOIS;100;509.3
11430AR0106;11;Villeneuve-la-Comptal;430;AR;0106;1;17.41;0.0;82.59;AUTRE;0;751.7
11430AR0083;11;Villeneuve-la-Comptal;430;AR;0083;1;100.0;0.0;0.0;BOIS;100;1495.5
11430AR0069;11;Villeneuve-la-Comptal;430;AR;0069;1;99.41;0.0;0.59;BOIS;100;3390.7
11430AR0067;11;Villeneuve-la-Comptal;430;AR;0067;1;94.25;0.0;5.75;BOIS;100;2950.6
