PL;ARTIFICIALISE_OSO;AGRICULTURE_OSO;NATURE_OSO;BOIS_OSO;EAU_OSO;AUTRE_OSO;ARTIFICIALISE_RPG;AGRICULTURE_RPG;NATURE_RPG;BOIS_RPG;EAU_RPG;AUTRE_RPG;ARTIFICIALISE_TOPO;AGRICULTURE_TOPO;NATURE_TOPO;BOIS_TOPO;EAU_TOPO;AUTRE_TOPO;ARTIFICIALISE_COSIA;AGRICULTURE_COSIA;NATURE_COSIA;BOIS_COSIA;EAU_COSIA;AUTRE_COSIA;ARTIFICIALISE_FORET;AGRICULTURE_FORET;NATURE_FORET;BOIS_FORET;EAU_FORET;AUTRE_FORET;DIV_ARTIFICIALISE;DIV_AGRICULTURE;DIV_NATURE;DIV_BOIS;DIV_EAU;INDICE_DIVERGENCE;TAUX_ACCORD_PRECIS;CONSENSUS;SURFACE;GRAVELIUS
11430AO0077;72.99;8.96;18.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;6.66;0.0;0.0;0.0;0.0;93.34;21.95;0.0;41.62;34.81;1.62;0.0;0.0;0.0;0.0;0.0;0.0;100.0;30.77818301979504;4.007033815679623;18.34342607039372;15.567505259353538;0.7244860247099318;13.884126837986372;86.11587316201363;ARTIFICIALISE;3742.374800024665;1.2321502316163109
11430AO0078;84.93;13.24;1.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;6.26;0.0;0.0;0.0;0.0;93.74;18.05;0.0;64.58;17.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;36.025752872077504;5.921108004419443;28.687400021612277;7.76810015383427;0.0;15.6804722103887;84.3195277896113;ARTIFICIALISE;3536.9969499508948;1.1740171332866813
11430AO0079;5.52;94.48;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;6.48;89.62;3.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;2.4686190471597675;52.18111842419631;40.07928242870623;1.7441330224498361;0.0;19.29463058450243;80.70536941549757;AGRICULTURE;2900.075000077767;1.2282854306283828
11430AO0080;30.92;69.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;100.0;0.75;0.0;91.46;7.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;13.747828192118202;30.893515177137093;40.90215544442615;3.4837939089446723;0.0;17.805458544525226;82.19454145547478;AGRICULTURE;2479.5542499349017;1.1373567693580473
11430AO0081;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;9.34;0.0;0.0;0.0;0.0;90.66;26.93;0.0;58.27;12.96;1.84;0.0;0.0;0.0;0.0;0.0;0.0;100.0;42.126470063369894;0.0;26.05913620978255;5.795888197679455;0.8228730157199226;14.960873497310365;85.03912650268964;ARTIFICIALISE;2126.929500088193;1.138028256685257
11430AO0082;99.83;0.17;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;99.99;10.17;0.0;0.0;0.0;0.0;89.83;34.64;0.0;35.49;28.39;1.48;0.0;0.0;0.0;0.0;0.0;0.0;100.0;42.08693823503915;0.07503332592921627;15.871610504293509;12.696393976243806;0.6618761213399377;14.278370432569124;85.72162956743088;ARTIFICIALISE;3221.3870500831836;1.4391154489352835
11430AO0083;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;9.61;0.0;0.0;0.0;0.0;90.39;25.31;0.0;59.13;15.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;42.10779892133998;0.0;26.44373990191251;6.958643545979346;0.0;15.102036473846365;84.89796352615363;ARTIFICIALISE;1508.048500002482;1.1459778233696247
11430AO0084;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;12.03;0.0;0.0;0.0;0.0;87.97;27.01;0.0;58.84;10.79;3.37;0.0;0.0;0.0;0.0;0.0;0.0;100.0;41.85641133685496;0.0;26.314047959217525;4.825434695444546;1.5071098168348582;14.900600761670379;85.09939923832962;ARTIFICIALISE;2064.749149995633;1.2396670467200015
11430AO0087;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;100.0;53.9;0.0;44.73;1.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;45.1889588284572;0.0;20.00386412671312;0.6171547617899419;0.0;13.161995543392056;86.83800445660795;ARTIFICIALISE;101.10315004529089;6.146505625444065
11430AO0089;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;18.21;0.0;0.0;0.0;0.0;81.79;46.1;2.49;40.74;10.39;0.29;0.0;0.0;0.0;0.0;0.0;0.0;100.0;42.00374649956835;1.1135618527948954;18.219481880668287;4.646549257244564;0.1296919426949878;13.222606286594218;86.77739371340579;ARTIFICIALISE;1007.4070999995104;1.2019733106070283
